category	FROM	TO	evidence	source
TF-miRNA	MYCN	hsa-mir-221	Experimental	PMID20584335
TF-miRNA	MYCN	hsa-mir-92a	Experimental	PMID20584335
TF-miRNA	MYF5	hsa-mir-133a	Experimental	PMID20584335
TF-miRNA	MYOD1	hsa-mir-1	Experimental	PMID20584335
TF-miRNA	MYOD1	hsa-mir-133a	Experimental	PMID20584335
TF-miRNA	MYOD1	hsa-mir-206	Experimental	PMID20584335
TF-miRNA	MYOG	hsa-mir-1	Experimental	PMID20584335
TF-miRNA	MYOG	hsa-mir-133a	Experimental	PMID20584335
TF-miRNA	MYOG	hsa-mir-206	Experimental	PMID20584335
TF-miRNA	NFIB	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	NFKB1	hsa-mir-125b	Experimental	PMID20584335
TF-miRNA	NFKB1	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	NFKB1	hsa-mir-155	Experimental	PMID20584335
TF-miRNA	NFKB1	hsa-mir-29a	Experimental	PMID20584335
TF-miRNA	NFKB1	hsa-mir-29b	Experimental	PMID20584335
TF-miRNA	NFKB1	hsa-mir-29c	Experimental	PMID20584335
TF-miRNA	NFKB1	hsa-mir-9	Experimental	PMID20584335
TF-miRNA	NKX2-5	hsa-mir-17	Experimental	PMID20584335
TF-miRNA	NKX2-5	hsa-mir-18a	Experimental	PMID20584335
TF-miRNA	NKX2-5	hsa-mir-19a	Experimental	PMID20584335
TF-miRNA	NKX2-5	hsa-mir-19b	Experimental	PMID20584335
TF-miRNA	NKX2-5	hsa-mir-20a	Experimental	PMID20584335
TF-miRNA	NKX2-5	hsa-mir-92a	Experimental	PMID20584335
TF-miRNA	ESRRG	hsa-mir-127	Experimental	PMID20584335
TF-miRNA	ESRRG	hsa-mir-433	Experimental	PMID20584335
TF-miRNA	POU5F1	hsa-mir-302a	Experimental	PMID20584335
TF-miRNA	POU5F1	hsa-mir-302b	Experimental	PMID20584335
TF-miRNA	POU5F1	hsa-mir-302c	Experimental	PMID20584335
TF-miRNA	POU5F1	hsa-mir-302d	Experimental	PMID20584335
TF-miRNA	POU5F1	hsa-mir-367	Experimental	PMID20584335
TF-miRNA	PDGFA	hsa-mir-221	Experimental	PMID20584335
TF-miRNA	ZBTB16	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	PRKCA	hsa-mir-15a	Experimental	PMID20584335
TF-miRNA	PTEN	hsa-mir-19a	Experimental	PMID20584335
TF-miRNA	PTEN	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	REST	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	ZFP42	hsa-mir-302a	Experimental	PMID20584335
TF-miRNA	ZFP42	hsa-mir-302b	Experimental	PMID20584335
TF-miRNA	ZFP42	hsa-mir-302c	Experimental	PMID20584335
TF-miRNA	ZFP42	hsa-mir-302d	Experimental	PMID20584335
TF-miRNA	ZFP42	hsa-mir-367	Experimental	PMID20584335
TF-miRNA	RUNX1	hsa-mir-27a	Experimental	PMID20584335
TF-miRNA	NR0B2	hsa-mir-127	Experimental	PMID20584335
TF-miRNA	NR0B2	hsa-mir-433	Experimental	PMID20584335
TF-miRNA	SIP1	hsa-mir-141	Experimental	PMID20584335
TF-miRNA	SIP1	hsa-mir-200a	Experimental	PMID20584335
TF-miRNA	SIP1	hsa-mir-200b	Experimental	PMID20584335
TF-miRNA	SIP1	hsa-mir-200c	Experimental	PMID20584335
TF-miRNA	SIP1	hsa-mir-429	Experimental	PMID20584335
TF-miRNA	SIP1	hsa-mir-8	Experimental	PMID20584335
TF-miRNA	SMAD4	hsa-mir-155	Experimental	PMID20584335
TF-miRNA	SOX2	hsa-mir-302a	Experimental	PMID20584335
TF-miRNA	SOX2	hsa-mir-302b	Experimental	PMID20584335
TF-miRNA	SOX2	hsa-mir-302c	Experimental	PMID20584335
TF-miRNA	SOX2	hsa-mir-302d	Experimental	PMID20584335
TF-miRNA	SOX2	hsa-mir-367	Experimental	PMID20584335
