gene	specific tissue
RP11-503C24.1	Testis
TCEB1P29	Testis
RP11-383M4.2	Testis
RP11-383M4.6	Testis
RP11-51L5.7	Testis
CTC-338M12.2	Testis
RP11-51L5.2	Testis
CTC-360P9.4	Testis
CTC-360P9.5	Testis
CTC-360P9.2	Testis
CTC-360P9.3	Testis
CTC-360P9.1	Testis
AC099342.1	Testis
ST7-AS2	Testis
RP11-336N8.1	Testis
RN7SL569P	Testis
LINC00626	Pituitary
RP4-706G24.1	Testis
RP11-434H14.1	Testis
RP11-20P5.2	Testis
RP11-66A2.1	Testis
MIR663A	Testis
RP11-128B16.3	Testis
CTD-2561F5.1	Testis
RP11-543D10.2	Testis
AC084121.17	Testis
SULT6B1	Testis
AC004945.1	Brain - Cerebellum
KRTAP19-3	Muscle - Skeletal
LIPT1P1	Brain - Cerebellum
PPIAL4D	Brain - Cerebellar Hemisphere
RP1-102G20.5	Testis
KRTAP19-8	Testis
FER1L6-AS1	Testis
RP11-442O18.1	Testis
RP11-442O18.2	Testis
SLC25A24P2	Testis
RP11-553E24.2	Testis
AC090505.5	Testis
RP11-845M18.7	Testis
RP11-317G22.2	Brain - Cerebellar Hemisphere
RP11-810K23.6	Testis
RP11-395P13.4	Testis
RP11-12K11.2	Testis
RP11-713C19.1	Testis
MARK2P13	Skin - Not Sun Exposed (Suprapubic)
KRT28	Testis
SLCO1B1	Liver
SLC9B1P3	Testis
AC010086.1	Spleen
RP11-56N19.5	Testis
RPL37AP1	Testis
AC096732.2	Testis
RNA5SP21	Minor Salivary Gland
AC144450.2	Minor Salivary Gland
RP11-466A17.1	Testis
RP11-536G4.2	Testis
C20orf187	Testis
RP11-498M5.2	Testis
RP1-149L1.1	Testis
BRWD1-AS1	Testis
CCDC179	Testis
RP1-152L7.8	Brain - Cerebellar Hemisphere
RP5-837M10.1	Testis
RP3-333H23.8	Testis
FANK1-AS1	Testis
CCDC172	Testis
RP5-984P4.4	Pituitary
RP11-61J19.2	Testis
RP5-1011O1.2	Cells - EBV-transformed lymphocytes
RP5-905H7.9	Testis
RP5-905H7.7	Testis
TUFMP1	Pituitary
RP3-461P17.6	Testis
BANF1P5	Testis
RP11-446F3.2	Testis
CTAGE11P	Testis
RP11-255M2.1	Testis
RP3-382I10.2	Testis
AC084149.1	Brain - Nucleus accumbens (basal ganglia)
HMGN2P13	Brain - Nucleus accumbens (basal ganglia)
RP11-21G20.4	Testis
HAUS1P1	Spleen
RP11-21G20.3	Testis
HAUS1P2	Prostate
RP11-142G1.1	Testis
RP11-372M18.1	Testis
RNA5SP368	Minor Salivary Gland
RP11-170M17.1	Testis
GOLGA8S	Testis
RP11-124O11.2	Testis
AC108039.1	Testis
RP11-124O11.1	Testis
GS1-278J22.2	Testis
AC005150.1	Testis
CT45A1	Testis
CT45A3	Testis
CT45A2	Testis
RP11-211C9.1	Testis
CT45A4	Testis
CT45A6	Testis
RN7SL520P	Thyroid
AC011193.1	Testis
RNU6-143P	Brain - Cortex
MIR632	Testis
TULP3P1	Testis
C3orf56	Testis
HSFY1P1	Testis
RP11-550H2.1	Testis
RNVU1-18	Testis
PRDM14	Testis
PFN1P10	Testis
RP11-25E2.1	Liver
RP11-519M16.1	Testis
RP11-644C3.1	Testis
RP11-301N24.3	Pituitary
RP11-80H8.3	Testis
PHKA1-AS1	Testis
CTD-2074D8.1	Testis
RN7SL305P	Testis
RP11-85B7.2	Minor Salivary Gland
BTG4	Testis
NMD3P2	Testis
CTC-558O19.1	Testis
RP11-109G23.3	Testis
TUBB7P	Testis
RP11-218I7.2	Testis
