Arhgdib	Ywhae	0.081
Itch	Tax1Bp1	0.21
Ca2	Hsd3B4	0.081
Blmh	Ywhae	0.081
Bclaf1	Hsd3B7	0.081
Amy1	Gyg1	0.21
Pfdn1	Pgls	0.081
Sf3A3	Ywhae	0.081
Cdk7	Ywhae	0.081
Camk2D	Lrrfip1	0.21
Rps19	Rps19Bp1	0.21
Eefsec	Ywhaz	0.081
Eed	Znf326	0.126
Cul1	Cul7	0.376
Lrrfip1	Myd88	0.376
Cyp2D26	Pgls	0.081
Smarcd1	Tp53	0.659
H3F3B	Rgs9	0.126
Irak2	Irak4	0.21
Dhrs7B	Eed	0.126
Ubc	Uchl1	0.569
Eed	Eny2	0.126
Med21	Pik3Ca	0.21
Lrp1B	Mapk8Ip1	0.454
Ago2	Dhx36	0.21
Erc2	Ywhae	0.126
Pten	Slc9A3R2	0.507
Ezh2	Hspa5	0.126
Nsdhl	Ywhae	0.081
Sec61B	Tnfrsf1A	0.183
Atxn3	Vcp	0.21
Eed	Ncapd2	0.126
Hnf4A	Nr0B1	0.569
Crip2	Ywhaz	0.081
Dok2	Inpp5D	0.332
App	Ppp1R2	0.21
Grid2	Ttc9B	0.21
Gba	Lamp2	0.126
Foxp3	Tuba1C	0.126
Apoa1	Apoa1	0.332
Gopc	Gopc	0.416
Tor1Aip1	Ywhae	0.081
Eed	Q7Tns8	0.21
Atp6V1E1	Ywhae	0.081
Hsd3B7	Suox	0.081
Pfas	Ywhae	0.081
Sowahc	Tcf3	0.183
Cars	Ywhae	0.081
Abhd12	Ywhae	0.081
Gapdh	Grid2	0.21
Hck	Sh2D1B2	0.21
Rpl15	Tial1	0.21
Eno1	Ywhaz	0.196
Eed	Nup155	0.126
Rnf11	Tax1Bp1	0.507
Pgls	Prdx1	0.081
Dnajb6	Ywhab	0.081
Lipc	Ppib	0.21
Acadm	Hsd3B4	0.081
Opa1	Unk	0.126
Hsd3B4	Rpn2	0.081
Hoxb8	Meis1	0.523
Aes	Hmgb1	0.671
Ercc8	Hoxa2	0.183
Ctcf	Eed	0.126
Stx1A	Stx1A	0.332
Hexim1	Ywhae	0.081
Dlg4	Idh3A	0.236
Plce1	Ywhae	0.081
Chrac1	Pole3	0.309
Pitpnb	Ywhae	0.081
Nob1	Ywhae	0.081
Ripk1	Ripk3	0.61
Acta2	Nphp4	0.126
Kcnma1	St8Sia2	0.126
Carhsp1	Styx	0.21
Camsap1	Ywhae	0.081
Bag1	Bcl2	0.236
Rnf31	Tnf	0.21
Cfdp1	Ywhae	0.081
Pabpc4	Pgls	0.081
Grb2	Spry1	0.376
Grin1	Myh10	0.332
Acsl6	Ywhab	0.081
Prnp	Sparcl1	0.236
Cul5	Socs6	0.183
Ep400	Nanog	0.236
Dnaja1	Hsd3B7	0.081
Eed	Unc45A	0.126
Baiap2	Diaph1	0.671
Fh	Pgls	0.081
Hsd3B7	Rbm3	0.081
Rad23B	Sox2	0.21
Cct7	Fbxo32	0.126
Hsd3B7	Rps4X	0.081
Hspa2	Nasp	0.702
Kat2A	Kat2A	0.155
Polr1A	Pou2F1	0.183
Arhgap35	Fzr1	0.569
Mif	Pgls	0.081
Hspd1	Mcl1	0.126
Stk10	Trpm7	0.126
Pdia3	Ywhaz	0.081
Map3K7	Tube1	0.21
Atxn7L1	Trrap	0.126
Celsr3	Csf1	0.21
Hmga2	Q3U8B3	0.126
Ctr9	Rcor2	0.21
Anpep	Ywhaz	0.081
Aire	Nop56	0.236
Trim2	Ywhae	0.081
Dscam	Ntn1	0.21
Hsd3B4	Mtx2	0.081
Hsd3B4	Q8Bgx2	0.081
Synpo2	Ywhae	0.081
Prrc2A	Ywhae	0.081
Plin4	Ywhae	0.081
Lefty1	Tdgf1	0.309
Eed	Rpn2	0.126
Eed	Lrrfip1	0.236
Eed	Rps6	0.126
Cenpc	Ppig	0.126
Klc2	Syne4	0.309
Uba2	Ywhae	0.081
Rpl8	Ywhae	0.081
Prkcz	Ywhae	0.081
Hax1	Stat3	0.183
Krt6A	Ywhab	0.081
Actb	Isg15	0.236
Dnm1	Sh3Gl2	0.623
Bcr	Dok2	0.126
Fam171A1	Grin1	0.126
Pcna	Rev1	0.569
Atg16L1	Atg5	0.623
Cttn	Ywhae	0.081
Abl1	Cdon	0.21
Hoxd12	Wwp1	0.183
Abcg3	Dstn	0.126
Cand2	Iqcb1	0.126
Cdk1	Hist2H3C2	0.309
Htt	Ywhae	0.081
Siglec12	Siglec12	0.236
Psma3	Psmb7	0.21
Ubxn2B	Ywhae	0.081
Hmga2	Q80X32	0.126
Psma2	Ywhae	0.081
Pcgf2	Pcgf2	0.332
Hmga2	Ostc	0.126
Clpp	Hmga2	0.126
Cbx5	Hmga2	0.126
Coil	Ywhae	0.081
Gpam	Ywhae	0.081
Pik3Ca	Ywhab	0.081
Hhex	Sp7	0.183
Tle4	Tle4	0.236
Hsd3B4	Rpl6	0.081
Kdm2B	Pcgf1	0.454
Med16	Nkd2	0.183
Afp	Ywhae	0.081
Idh3G	Ywhae	0.081
Cenpc	Wdr33	0.126
Kcnma1	Uqcrc1	0.236
Actn4	Hsd3B4	0.081
Fanca	Fancg	0.376
Lrrk1	Shc1	0.332
Hsd17B10	Ywhae	0.081
Foxp1	Tle6	0.183
Grb2	Ybx1	0.236
Spem1	Ubqln1	0.454
Fancl	Ube2W	0.309
Hmga2	Rars	0.126
Cnn3	Foxp3	0.126
Cd22	Grb2	0.61
Ezr	Hsd3B4	0.081
App	Hspa5	0.21
Hist2H3C2	Parp1	0.236
Thy1	Ywhab	0.081
Hibch	Hsd3B4	0.081
Aldoa	Ubqln1	0.21
Batf3	Jund	0.183
Hsd3B4	Lcp1	0.081
Eed	Kif2C	0.126
Rpl3	Ubc	0.126
Tnnt2	Ywhae	0.081
Hmga1	Ywhae	0.081
Epb41L5	Iqcb1	0.236
Hsd3B7	Sel1L	0.081
Pgls	Psmd10	0.081
Hras	Rgl3	0.376
Dlg4	Fkbp1A	0.236
Nedd4	Pmepa1	0.507
Aire	Srsf2	0.236
Ap1G1	Ctsd	0.126
Socs3	Tceb2	0.671
Aup1	Ywhae	0.081
Psma1	Psmd7	0.21
Atp5B	Ywhae	0.196
Atp6V1A	Stoml2	0.126
Dhrs7B	Ywhab	0.081
Hmga2	Prps2	0.126
Eed	Pkm	0.126
Chd8	Ctcf	0.523
Gstk1	Ywhae	0.081
Pou5F1	Ubp1	0.236
Actr3	Ywhae	0.081
Rab31	Ywhae	0.081
Hsd3B4	Rpsa	0.081
Dlg4	Pdia6	0.236
Prkce	Tf	0.376
Map4	Pgls	0.081
Atp6V1E2	Ywhaz	0.081
Hsd3B7	Thrap3	0.081
Hsd17B12	Hsd3B7	0.081
Ciz1	Ywhae	0.081
Wasf2	Ywhae	0.081
Gab1	Ptpn11	0.376
Grin2B	Myh7	0.126
Adcy8	Ppp2R1A	0.21
Ncam1	Ywhab	0.274
Htt	Snap25	0.126
Emsy	Pou5F1	0.236
Cyfip1	Wasf1	0.21
Stip1	Ywhae	0.081
Ogt	Tfcp2L1	0.236
Elavl1	Ywhae	0.081
Nacc1	Smarcc1	0.126
Vldlr	Ywhae	0.081
Gstt1	Pgls	0.081
Hsd3B4	Slc27A2	0.081
Iqcb1	Myo1C	0.236
Mcl1	Pmaip1	0.597
Larp4B	Lmna	0.21
Eif3K	Ywhae	0.081
Purb	Stat2	0.183
Dpf2	Nanog	0.236
Amy1	Cat	0.21
Ilk	Rps3	0.126
Rps3	Ywhaz	0.081
Ctsz	Ywhae	0.081
Hdgfrp2	Pgls	0.081
Foxp3	Znf771	0.126
Rbfox2	Rbfox2	0.21
Lima1	Ywhae	0.081
Hmga2	Ormdl1	0.126
Taf10	Ywhae	0.081
Ep400	Myc	0.236
Arc	Psen1	0.376
Sod1	Sod1	0.332
Cdx2	Dlx5	0.183
Ash2L	Nfe2	0.49
Hmga2	Smchd1	0.126
Foxp3	Rac2	0.126
Kat2A	Mbip	0.454
Atp5C1	Eed	0.126
Kat2A	Zzz3	0.126
Bbc3	Bcl2L1	0.376
Grin1	Prkcb	0.49
Eif3A	Pgls	0.081
Ttc33	Ywhae	0.081
Cyp2F2	Ywhae	0.081
Ldb2	Lmo4	0.183
Ocln	Tgfbr1	0.236
Grin2B	Slc25A22	0.126
Ighg1	Ywhae	0.081
Rpl30	Ubc	0.126
Myog	Uba52	0.21
Mlec	Ywhae	0.081
Slc25A5	Ywhab	0.081
Csf1	Myh10	0.21
Rnf20	Srebf1	0.376
Mafg	Ywhae	0.081
Atp1A3	Hsd3B4	0.081
Cct2	Cct3	0.126
Neurl1	Neurl1	0.332
Eps8	Ywhaz	0.081
Pou2F1	Tle4	0.376
Trim3	Trpm7	0.126
Hspa5	Myd88	0.21
Pgls	Sult2A1	0.081
Pgls	Trappc8	0.081
Fam161B	Nphp4	0.126
Aff1	Cdk9	0.126
Pgls	Wdr1	0.081
Clu	Ywhae	0.081
Fgfr1	Nostrin	0.21
Cers2	Ets2	0.183
Dbt	Eed	0.126
Papss2	Pgls	0.081
Eed	Mcm6	0.126
Ubxn2B	Usp14	0.126
Agtr1A	Ankrd1	0.309
Dlg4	Sh3Glb2	0.236
Tab2	Ubc	0.309
Traf6	Ube2D3	0.376
Syn2	Ywhab	0.081
Eps8	Gria1	0.21
Anks4B	Traf1	0.183
Ripk1	Ubc	0.692
Apbb1	Tp53	0.416
Ezh2	Phf1	0.21
Ilk	Serpinb6B	0.126
Tacc3	Tacc3	0.332
Hdgf	Hdgfrp2	0.454
Gata5	Smad4	0.309
Vcp	Vcpip1	0.309
Bmpr1B	Smad6	0.309
Mta1	Sall4	0.236
Ggt1	Hsd3B4	0.081
Sap30Bp	Ywhah	0.126
Rbfox3	Ywhae	0.081
Efna5	Ephb2	0.309
Nphp4	Vim	0.126
Kcnma1	Ldhb	0.332
Psap	Ywhaz	0.081
Psmd12	Psmd4	0.21
Hsd3B4	Rps7	0.081
Cenpc	Zfml	0.126
Eif3B	Eif4G1	0.21
Dlg4	Ywhab	0.081
