mirna	specific process
hsa-mir-196a	Cell cycle related
hsa-mir-19a	Cell cycle related
hsa-mir-19b	Cell cycle related
hsa-mir-200b	Cell cycle related
hsa-mir-200c	Cell cycle related
hsa-mir-205	Cell cycle related
hsa-mir-206	Cell cycle related
hsa-mir-20a	Cell cycle related
hsa-mir-21	Cell cycle related
hsa-mir-210	Cell cycle related
hsa-mir-221	Cell cycle related
hsa-mir-222	Cell cycle related
hsa-mir-223	Cell cycle related
hsa-mir-24	Cell cycle related
hsa-mir-27a	Cell cycle related
hsa-mir-27b	Cell cycle related
hsa-mir-29b	Cell cycle related
hsa-mir-31	Cell cycle related
hsa-mir-320	Cell cycle related
hsa-mir-331	Cell cycle related
hsa-mir-33b	Cell cycle related
hsa-mir-34	Cell cycle related
hsa-mir-34a	Cell cycle related
hsa-mir-34b	Cell cycle related
hsa-mir-34c	Cell cycle related
hsa-mir-372	Cell cycle related
hsa-mir-372	Cell cycle related
hsa-mir-373	Cell cycle related
hsa-mir-376b	Cell cycle related
hsa-mir-424	Cell cycle related
hsa-mir-449	Cell cycle related
hsa-mir-449a	Cell cycle related
hsa-mir-449b	Cell cycle related
hsa-mir-494	Cell cycle related
hsa-mir-499	Cell cycle related
hsa-mir-503	Cell cycle related
hsa-mir-9	Cell cycle related
hsa-mir-92	Cell cycle related
hsa-mir-92a	Cell cycle related
hsa-mir-92b	Cell cycle related
hsa-mir-96	Cell cycle related
hsa-mir-98	Cell cycle related
hsa-mir-1	Cell differentiation
hsa-mir-124a	Cell differentiation
hsa-mir-127	Cell differentiation
hsa-mir-143	Cell differentiation
hsa-mir-145	Cell differentiation
hsa-mir-150	Cell differentiation
hsa-mir-155	Cell differentiation
hsa-mir-15a	Cell differentiation
hsa-mir-16	Cell differentiation
hsa-mir-18	Cell differentiation
hsa-mir-194	Cell differentiation
hsa-mir-206	Cell differentiation
hsa-mir-210	Cell differentiation
hsa-mir-222	Cell differentiation
hsa-mir-34a	Cell differentiation
hsa-mir-424	Cell differentiation
hsa-mir-503	Cell differentiation
hsa-let-7	Cell proliferation
hsa-let-7c	Cell proliferation
hsa-let-7d	Cell proliferation
hsa-mir-124	Cell proliferation
hsa-mir-125b	Cell proliferation
hsa-mir-130a	Cell proliferation
hsa-mir-140	Cell proliferation
hsa-mir-143	Cell proliferation
hsa-mir-145	Cell proliferation
hsa-mir-150	Cell proliferation
