mirna	specific process
hsa-mir-273	cell fate determination
hsa-mir-125	cell fate determination
hsa-mir-205	cell motility
hsa-mir-488	cell motility
hsa-mir-151	cell motility
hsa-mir-10b	cell motility
hsa-mir-206	cell motility
hsa-mir-21	cell motility
hsa-mir-584	cell motility
hsa-mir-31	cell motility
hsa-mir-145	cell motility
hsa-mir-9	cell motility
hsa-mir-200a	cell motility
hsa-mir-222	cell motility
hsa-mir-128	cell motility
hsa-mir-143	cell motility
hsa-mir-21	cell motility
hsa-mir-886	chemotaxis
hsa-mir-210	chemotaxis
hsa-mir-122	cholesterol biosynthesis
hsa-mir-33	cholesterol biosynthesis
hsa-mir-21	chromatin remodeling
hsa-mir-199a	chromatin remodeling
hsa-mir-132	chromatin remodeling
hsa-mir-31	chromatin remodeling
hsa-mir-512	chromatin remodeling
hsa-mir-223	chromatin remodeling
hsa-mir-16	circadian rhythm
hsa-mir-122	circadian rhythm
hsa-mir-192	circadian rhythm
hsa-mir-194	circadian rhythm
hsa-mir-26a	circadian rhythm
hsa-mir-181d	circadian rhythm
hsa-mir-191	circadian rhythm
hsa-mir-182	circadian rhythm
hsa-mir-183	circadian rhythm
hsa-mir-96	circadian rhythm
hsa-mir-219	circadian rhythm
hsa-mir-182	DNA repair
hsa-mir-291a	DNA repair
hsa-mir-101	DNA repair
hsa-mir-155	DNA repair
hsa-mir-34a	DNA repair
hsa-mir-34c	DNA repair
hsa-mir-210	DNA repair
hsa-mir-373	DNA repair
hsa-mir-24	DNA repair
hsa-mir-521	DNA repair
hsa-mir-34a	glucose metabolism
hsa-mir-223	glucose metabolism
hsa-mir-23a	glucose metabolism
hsa-mir-23b	glucose metabolism
hsa-mir-375	glucose metabolism
hsa-mir-124a	glucose metabolism
hsa-mir-1	heart development
hsa-mir-133a	heart development
hsa-mir-133b	heart development
hsa-mir-27b	heart development
hsa-mir-208	heart development
hsa-mir-499	heart development
hsa-mir-21	heart development
hsa-mir-200a	Epithelial-mesenchymal transition
hsa-mir-200b	Epithelial-mesenchymal transition
hsa-mir-200c	Epithelial-mesenchymal transition
hsa-mir-141	Epithelial-mesenchymal transition
hsa-mir-203	Epithelial-mesenchymal transition
hsa-mir-137	Epithelial-mesenchymal transition
hsa-mir-429	Epithelial-mesenchymal transition
hsa-let-7a	Epithelial-mesenchymal transition
hsa-mir-144	Epithelial-mesenchymal transition
hsa-mir-205	Epithelial-mesenchymal transition
hsa-mir-23b	Epithelial-mesenchymal transition
hsa-mir-29c	Epithelial-mesenchymal transition
hsa-mir-370	Epithelial-mesenchymal transition
hsa-mir-155	Epithelial-mesenchymal transition
hsa-mir-369	Epithelial-mesenchymal transition
hsa-mir-450	Epithelial-mesenchymal transition
hsa-mir-542	Epithelial-mesenchymal transition
hsa-mir-30a	Epithelial-mesenchymal transition
hsa-mir-30b	Epithelial-mesenchymal transition
hsa-mir-30c	Epithelial-mesenchymal transition
hsa-mir-30d	Epithelial-mesenchymal transition
hsa-mir-30e	Epithelial-mesenchymal transition
hsa-mir-1915	Epithelial-mesenchymal transition
hsa-mir-1909	Epithelial-mesenchymal transition
hsa-mir-194	Epithelial-mesenchymal transition
hsa-mir-21	Epithelial-mesenchymal transition
hsa-mir-31	Epithelial-mesenchymal transition
hsa-mir-448	Epithelial-mesenchymal transition
hsa-mir-382	Epithelial-mesenchymal transition
hsa-mir-103	Epithelial-mesenchymal transition
hsa-mir-107	Epithelial-mesenchymal transition
hsa-mir-661	Epithelial-mesenchymal transition
hsa-mir-221	Epithelial-mesenchymal transition
hsa-mir-192	Epithelial-mesenchymal transition
hsa-mir-215	Epithelial-mesenchymal transition
hsa-mir-125a	Epithelial-mesenchymal transition
hsa-let-7b	Epithelial-mesenchymal transition
hsa-let-7c	Epithelial-mesenchymal transition
hsa-let-7d	Epithelial-mesenchymal transition
hsa-let-7e	Epithelial-mesenchymal transition
hsa-mir-29a	Epithelial-mesenchymal transition
hsa-mir-106a	onco-miRNAs
hsa-mir-106b	onco-miRNAs
hsa-mir-107	onco-miRNAs
hsa-mir-146a	onco-miRNAs
hsa-mir-146b	onco-miRNAs
hsa-mir-155	onco-miRNAs
hsa-mir-17	onco-miRNAs
hsa-mir-18a	onco-miRNAs
hsa-mir-191	onco-miRNAs
hsa-mir-19a	onco-miRNAs
hsa-mir-19b	onco-miRNAs
hsa-mir-20a	onco-miRNAs
hsa-mir-21	onco-miRNAs
hsa-mir-210	onco-miRNAs
hsa-mir-214	onco-miRNAs
hsa-mir-221	onco-miRNAs
hsa-mir-222	onco-miRNAs
hsa-mir-223	onco-miRNAs
hsa-mir-24	onco-miRNAs
hsa-mir-372	onco-miRNAs
hsa-mir-373	onco-miRNAs
hsa-mir-92a	onco-miRNAs
hsa-mir-93	onco-miRNAs
hsa-mir-150	onco-miRNAs
hsa-mir-18b	onco-miRNAs
hsa-mir-194	onco-miRNAs
hsa-mir-196a	onco-miRNAs
hsa-mir-203	onco-miRNAs
hsa-mir-20b	onco-miRNAs
hsa-mir-224	onco-miRNAs
hsa-mir-27a	onco-miRNAs
hsa-mir-101	miRNA tumor suppressors
hsa-mir-1	miRNA tumor suppressors
hsa-mir-122	miRNA tumor suppressors
hsa-mir-126	miRNA tumor suppressors
hsa-mir-141	miRNA tumor suppressors
hsa-mir-200a	miRNA tumor suppressors
hsa-mir-200b	miRNA tumor suppressors
hsa-mir-200c	miRNA tumor suppressors
hsa-mir-451	miRNA tumor suppressors
hsa-let-7a	miRNA tumor suppressors
hsa-let-7b	miRNA tumor suppressors
hsa-let-7c	miRNA tumor suppressors
hsa-let-7d	miRNA tumor suppressors
hsa-let-7e	miRNA tumor suppressors
hsa-let-7f	miRNA tumor suppressors
hsa-let-7g	miRNA tumor suppressors
hsa-let-7i	miRNA tumor suppressors
hsa-mir-124	miRNA tumor suppressors
hsa-mir-125a	miRNA tumor suppressors
hsa-mir-125b	miRNA tumor suppressors
hsa-mir-127	miRNA tumor suppressors
hsa-mir-143	miRNA tumor suppressors
hsa-mir-145	miRNA tumor suppressors
hsa-mir-15a	miRNA tumor suppressors
hsa-mir-16	miRNA tumor suppressors
hsa-mir-181a	miRNA tumor suppressors
hsa-mir-181b	miRNA tumor suppressors
hsa-mir-181c	miRNA tumor suppressors
hsa-mir-195	miRNA tumor suppressors
hsa-mir-26a	miRNA tumor suppressors
hsa-mir-26b	miRNA tumor suppressors
hsa-mir-29a	miRNA tumor suppressors
hsa-mir-29c	miRNA tumor suppressors
hsa-mir-34a	miRNA tumor suppressors
hsa-mir-34b	miRNA tumor suppressors
hsa-mir-34c	miRNA tumor suppressors
hsa-mir-98	miRNA tumor suppressors
