mirna	specific process
mmu-mir-96	cell fate determination
mmu-mir-182	cell fate determination
mmu-mir-495	cell fate determination
mmu-mir-218	cell fate determination
mmu-mir-34	cell fate determination
mmu-mir-9	cell fate determination
mmu-mir-273	cell fate determination
mmu-mir-125	cell fate determination
mmu-mir-205	cell motility
mmu-mir-488	cell motility
mmu-mir-151	cell motility
mmu-mir-10b	cell motility
mmu-mir-206	cell motility
mmu-mir-21	cell motility
mmu-mir-584	cell motility
mmu-mir-31	cell motility
mmu-mir-145	cell motility
mmu-mir-9	cell motility
mmu-mir-200a	cell motility
mmu-mir-222	cell motility
mmu-mir-128	cell motility
mmu-mir-143	cell motility
mmu-mir-21	cell motility
mmu-mir-886	chemotaxis
mmu-mir-210	chemotaxis
mmu-mir-122	cholesterol biosynthesis
mmu-mir-33	cholesterol biosynthesis
mmu-mir-21	chromatin remodeling
mmu-mir-199a	chromatin remodeling
mmu-mir-132	chromatin remodeling
mmu-mir-31	chromatin remodeling
mmu-mir-512	chromatin remodeling
mmu-mir-223	chromatin remodeling
mmu-mir-16	circadian rhythm
mmu-mir-122	circadian rhythm
mmu-mir-192	circadian rhythm
mmu-mir-194	circadian rhythm
mmu-mir-26a	circadian rhythm
mmu-mir-181d	circadian rhythm
mmu-mir-191	circadian rhythm
mmu-mir-182	circadian rhythm
mmu-mir-183	circadian rhythm
mmu-mir-96	circadian rhythm
mmu-mir-219	circadian rhythm
mmu-mir-182	DNA repair
mmu-mir-291a	DNA repair
mmu-mir-101	DNA repair
mmu-mir-155	DNA repair
mmu-mir-34a	DNA repair
mmu-mir-34c	DNA repair
mmu-mir-210	DNA repair
mmu-mir-373	DNA repair
mmu-mir-24	DNA repair
mmu-mir-521	DNA repair
mmu-mir-34a	glucose metabolism
mmu-mir-223	glucose metabolism
mmu-mir-23a	glucose metabolism
mmu-mir-23b	glucose metabolism
mmu-mir-375	glucose metabolism
mmu-mir-124a	glucose metabolism
mmu-mir-1	heart development
mmu-mir-133a	heart development
mmu-mir-133b	heart development
mmu-mir-27b	heart development
mmu-mir-208	heart development
mmu-mir-499	heart development
mmu-mir-21	heart development
mmu-mir-200a	Epithelial-mesenchymal transition
mmu-mir-200b	Epithelial-mesenchymal transition
mmu-mir-200c	Epithelial-mesenchymal transition
mmu-mir-141	Epithelial-mesenchymal transition
mmu-mir-203	Epithelial-mesenchymal transition
mmu-mir-137	Epithelial-mesenchymal transition
mmu-mir-429	Epithelial-mesenchymal transition
mmu-let-7a	Epithelial-mesenchymal transition
mmu-mir-144	Epithelial-mesenchymal transition
mmu-mir-205	Epithelial-mesenchymal transition
mmu-mir-23b	Epithelial-mesenchymal transition
mmu-mir-29c	Epithelial-mesenchymal transition
mmu-mir-370	Epithelial-mesenchymal transition
mmu-mir-155	Epithelial-mesenchymal transition
mmu-mir-369	Epithelial-mesenchymal transition
mmu-mir-450	Epithelial-mesenchymal transition
mmu-mir-542	Epithelial-mesenchymal transition
mmu-mir-30a	Epithelial-mesenchymal transition
mmu-mir-30b	Epithelial-mesenchymal transition
mmu-mir-30c	Epithelial-mesenchymal transition
mmu-mir-30d	Epithelial-mesenchymal transition
mmu-mir-30e	Epithelial-mesenchymal transition
mmu-mir-1915	Epithelial-mesenchymal transition
mmu-mir-1909	Epithelial-mesenchymal transition
mmu-mir-194	Epithelial-mesenchymal transition
mmu-mir-21	Epithelial-mesenchymal transition
mmu-mir-31	Epithelial-mesenchymal transition
mmu-mir-448	Epithelial-mesenchymal transition
mmu-mir-382	Epithelial-mesenchymal transition
mmu-mir-103	Epithelial-mesenchymal transition
mmu-mir-107	Epithelial-mesenchymal transition
mmu-mir-661	Epithelial-mesenchymal transition
mmu-mir-221	Epithelial-mesenchymal transition
mmu-mir-192	Epithelial-mesenchymal transition
mmu-mir-215	Epithelial-mesenchymal transition
mmu-mir-125a	Epithelial-mesenchymal transition
mmu-let-7b	Epithelial-mesenchymal transition
mmu-let-7c	Epithelial-mesenchymal transition
mmu-let-7d	Epithelial-mesenchymal transition
mmu-let-7e	Epithelial-mesenchymal transition
mmu-mir-29a	Epithelial-mesenchymal transition
mmu-mir-106a	onco-miRNAs
mmu-mir-106b	onco-miRNAs
mmu-mir-107	onco-miRNAs
mmu-mir-146a	onco-miRNAs
mmu-mir-146b	onco-miRNAs
mmu-mir-155	onco-miRNAs
mmu-mir-17	onco-miRNAs
mmu-mir-18a	onco-miRNAs
mmu-mir-191	onco-miRNAs
mmu-mir-19a	onco-miRNAs
mmu-mir-19b	onco-miRNAs
mmu-mir-20a	onco-miRNAs
mmu-mir-21	onco-miRNAs
mmu-mir-210	onco-miRNAs
mmu-mir-214	onco-miRNAs
mmu-mir-221	onco-miRNAs
mmu-mir-222	onco-miRNAs
mmu-mir-223	onco-miRNAs
mmu-mir-24	onco-miRNAs
mmu-mir-372	onco-miRNAs
mmu-mir-373	onco-miRNAs
mmu-mir-92a	onco-miRNAs
mmu-mir-93	onco-miRNAs
mmu-mir-150	onco-miRNAs
mmu-mir-18b	onco-miRNAs
mmu-mir-194	onco-miRNAs
mmu-mir-196a	onco-miRNAs
mmu-mir-203	onco-miRNAs
mmu-mir-20b	onco-miRNAs
mmu-mir-224	onco-miRNAs
mmu-mir-27a	onco-miRNAs
mmu-mir-101	miRNA tumor suppressors
mmu-mir-1	miRNA tumor suppressors
mmu-mir-122	miRNA tumor suppressors
mmu-mir-126	miRNA tumor suppressors
mmu-mir-141	miRNA tumor suppressors
mmu-mir-200a	miRNA tumor suppressors
mmu-mir-200b	miRNA tumor suppressors
mmu-mir-200c	miRNA tumor suppressors
mmu-mir-451	miRNA tumor suppressors
mmu-let-7a	miRNA tumor suppressors
mmu-let-7b	miRNA tumor suppressors
mmu-let-7c	miRNA tumor suppressors
mmu-let-7d	miRNA tumor suppressors
mmu-let-7e	miRNA tumor suppressors
mmu-let-7f	miRNA tumor suppressors
mmu-let-7g	miRNA tumor suppressors
mmu-let-7i	miRNA tumor suppressors
mmu-mir-124	miRNA tumor suppressors
mmu-mir-125a	miRNA tumor suppressors
mmu-mir-125b	miRNA tumor suppressors
mmu-mir-127	miRNA tumor suppressors
mmu-mir-143	miRNA tumor suppressors
mmu-mir-145	miRNA tumor suppressors
mmu-mir-15a	miRNA tumor suppressors
mmu-mir-16	miRNA tumor suppressors
mmu-mir-181a	miRNA tumor suppressors
mmu-mir-181b	miRNA tumor suppressors
mmu-mir-181c	miRNA tumor suppressors
mmu-mir-195	miRNA tumor suppressors
mmu-mir-26a	miRNA tumor suppressors
mmu-mir-26b	miRNA tumor suppressors
mmu-mir-29a	miRNA tumor suppressors
mmu-mir-29c	miRNA tumor suppressors
mmu-mir-34a	miRNA tumor suppressors
mmu-mir-34b	miRNA tumor suppressors
mmu-mir-34c	miRNA tumor suppressors
mmu-mir-98	miRNA tumor suppressors
