gene	specific process	GOterm	function
4933415F23Rik	immune system	GO:0045087	 innate immune response 
Abl1	immune system	GO:0045087	 innate immune response 
Abl2	immune system	GO:0045087	 innate immune response 
Acod1	immune system	GO:0002376	 immune system process 
Acod1	immune system	GO:0045087	 innate immune response 
Adam15	immune system	GO:0045087	 innate immune response 
Adar	immune system	GO:0002376	 immune system process 
Adar	immune system	GO:0045087	 innate immune response 
Adgre1	immune system	GO:0002250	 adaptive immune response 
Adgre1	immune system	GO:0002376	 immune system process 
Ahr	immune system	GO:0002376	 immune system process 
Aim2	immune system	GO:0002376	 immune system process 
Aim2	immune system	GO:0045087	 innate immune response 
Akap8	immune system	GO:0002376	 immune system process 
Akap8	immune system	GO:0045087	 innate immune response 
Akirin2	immune system	GO:0002376	 immune system process 
Akirin2	immune system	GO:0045087	 innate immune response 
Alcam	immune system	GO:0002250	 adaptive immune response 
Alcam	immune system	GO:0002376	 immune system process 
Amica1	immune system	GO:0002376	 immune system process 
Ang	immune system	GO:0045087	 innate immune response 
Ang4	immune system	GO:0045087	 innate immune response 
Ankhd1	immune system	GO:0045087	 innate immune response 
Ankrd17	immune system	GO:0002376	 immune system process 
Ankrd17	immune system	GO:0045087	 innate immune response 
Anxa1	immune system	GO:0002250	 adaptive immune response 
Anxa1	immune system	GO:0002376	 immune system process 
Anxa1	immune system	GO:0045087	 innate immune response 
Apcs	immune system	GO:0045087	 innate immune response 
Apobec3	immune system	GO:0002376	 immune system process 
Apobec3	immune system	GO:0045087	 innate immune response 
Arhgef2	immune system	GO:0002376	 immune system process 
Arhgef2	immune system	GO:0045087	 innate immune response 
Atg12	immune system	GO:0002376	 immune system process 
Atg12	immune system	GO:0045087	 innate immune response 
Atg5	immune system	GO:0002376	 immune system process 
Atg5	immune system	GO:0045087	 innate immune response 
Atg9a	immune system	GO:0045087	 innate immune response 
Atm	immune system	GO:0002376	 immune system process 
Axl	immune system	GO:0002376	 immune system process 
Axl	immune system	GO:0045087	 innate immune response 
B2m	immune system	GO:0002376	 immune system process 
B2m	immune system	GO:0045087	 innate immune response 
Bag6	immune system	GO:0002376	 immune system process 
Bcl10	immune system	GO:0002250	 adaptive immune response 
Bcl10	immune system	GO:0002376	 immune system process 
Bcl6	immune system	GO:0002376	 immune system process 
Blk	immune system	GO:0045087	 innate immune response 
Bmx	immune system	GO:0045087	 innate immune response 
Bpifa1	immune system	GO:0002376	 immune system process 
Bpifa1	immune system	GO:0045087	 innate immune response 
Bpifb1	immune system	GO:0002376	 immune system process 
Bpifb1	immune system	GO:0045087	 innate immune response 
Bpifb3	immune system	GO:0045087	 innate immune response 
Bst2	immune system	GO:0002376	 immune system process 
Bst2	immune system	GO:0045087	 innate immune response 
Btk	immune system	GO:0002250	 adaptive immune response 
Btk	immune system	GO:0002376	 immune system process 
Btk	immune system	GO:0045087	 innate immune response 
Btla	immune system	GO:0002250	 adaptive immune response 
Btla	immune system	GO:0002376	 immune system process 
C1qa	immune system	GO:0002376	 immune system process 
C1qa	immune system	GO:0045087	 innate immune response 
C1qb	immune system	GO:0002376	 immune system process 
C1qb	immune system	GO:0045087	 innate immune response 
C1qbp	immune system	GO:0002250	 adaptive immune response 
C1qbp	immune system	GO:0002376	 immune system process 
C1qbp	immune system	GO:0045087	 innate immune response 
C1qc	immune system	GO:0002376	 immune system process 
C1qc	immune system	GO:0045087	 innate immune response 
C1ra	immune system	GO:0002376	 immune system process 
C1ra	immune system	GO:0045087	 innate immune response 
C1rb	immune system	GO:0002376	 immune system process 
C1rb	immune system	GO:0045087	 innate immune response 
C1rl	immune system	GO:0002376	 immune system process 
C1rl	immune system	GO:0045087	 innate immune response 
C1s1	immune system	GO:0002376	 immune system process 
C1s1	immune system	GO:0045087	 innate immune response 
C1s2	immune system	GO:0002376	 immune system process 
C1s2	immune system	GO:0045087	 innate immune response 
C2	immune system	GO:0002376	 immune system process 
C2	immune system	GO:0045087	 innate immune response 
C3	immune system	GO:0002376	 immune system process 
C3	immune system	GO:0045087	 innate immune response 
C4bp	immune system	GO:0002376	 immune system process 
C4bp	immune system	GO:0045087	 innate immune response 
C8a	immune system	GO:0002376	 immune system process 
C8a	immune system	GO:0045087	 innate immune response 
C8b	immune system	GO:0002376	 immune system process 
C8b	immune system	GO:0045087	 innate immune response 
C8g	immune system	GO:0002376	 immune system process 
C8g	immune system	GO:0045087	 innate immune response 
C9	immune system	GO:0002376	 immune system process 
C9	immune system	GO:0045087	 innate immune response 
Cactin	immune system	GO:0002376	 immune system process 
Cactin	immune system	GO:0045087	 innate immune response 
Cadm1	immune system	GO:0002376	 immune system process 
Camk4	immune system	GO:0002250	 adaptive immune response 
Camk4	immune system	GO:0002376	 immune system process 
Camp	immune system	GO:0045087	 innate immune response 
Card9	immune system	GO:0002376	 immune system process 
Card9	immune system	GO:0045087	 innate immune response 
Casp4	immune system	GO:0002376	 immune system process 
Casp4	immune system	GO:0045087	 innate immune response 
Cd14	immune system	GO:0002376	 immune system process 
Cd14	immune system	GO:0045087	 innate immune response 
Cd180	immune system	GO:0002376	 immune system process 
Cd180	immune system	GO:0045087	 innate immune response 
Cd1d1	immune system	GO:0002376	 immune system process 
Cd1d1	immune system	GO:0045087	 innate immune response 
Cd1d2	immune system	GO:0002376	 immune system process 
Cd1d2	immune system	GO:0045087	 innate immune response 
Cd244	immune system	GO:0002250	 adaptive immune response 
Cd244	immune system	GO:0002376	 immune system process 
Cd244	immune system	GO:0045087	 innate immune response 
Cd300a	immune system	GO:0002376	 immune system process 
Cd300c	immune system	GO:0002376	 immune system process 
Cd300c2	immune system	GO:0002376	 immune system process 
Cd300e	immune system	GO:0002376	 immune system process 
Cd300lb	immune system	GO:0002376	 immune system process 
Cd300ld	immune system	GO:0002376	 immune system process 
Cd300ld3	immune system	GO:0002376	 immune system process 
Cd300lf	immune system	GO:0002376	 immune system process 
Cd300lg	immune system	GO:0002376	 immune system process 
Cd3e	immune system	GO:0002376	 immune system process 
Cd4	immune system	GO:0002250	 adaptive immune response 
Cd4	immune system	GO:0002376	 immune system process 
Cd40	immune system	GO:0002376	 immune system process 
Cd55	immune system	GO:0002376	 immune system process 
Cd55	immune system	GO:0045087	 innate immune response 
Cd55b	immune system	GO:0002376	 immune system process 
Cd55b	immune system	GO:0045087	 innate immune response 
Cd5l	immune system	GO:0002376	 immune system process 
Cd7	immune system	GO:0002250	 adaptive immune response 
Cd7	immune system	GO:0002376	 immune system process 
Cd74	immune system	GO:0002250	 adaptive immune response 
Cd74	immune system	GO:0002376	 immune system process 
Cd79a	immune system	GO:0002250	 adaptive immune response 
Cd79a	immune system	GO:0002376	 immune system process 
Cd79b	immune system	GO:0002250	 adaptive immune response 
Cd79b	immune system	GO:0002376	 immune system process 
Cd84	immune system	GO:0002250	 adaptive immune response 
Cd84	immune system	GO:0002376	 immune system process 
Cd84	immune system	GO:0045087	 innate immune response 
Cd86	immune system	GO:0002250	 adaptive immune response 
Cd86	immune system	GO:0002376	 immune system process 
Cd8a	immune system	GO:0002250	 adaptive immune response 
Cd8a	immune system	GO:0002376	 immune system process 
Cd8b1	immune system	GO:0002250	 adaptive immune response 
Cd8b1	immune system	GO:0002376	 immune system process 
Ceacam20	immune system	GO:0002376	 immune system process 
Cfb	immune system	GO:0002376	 immune system process 
Cfb	immune system	GO:0045087	 innate immune response 
Cfd	immune system	GO:0002376	 immune system process 
Cfd	immune system	GO:0045087	 innate immune response 
Cfh	immune system	GO:0002376	 immune system process 
Cfh	immune system	GO:0045087	 innate immune response 
Cfi	immune system	GO:0002376	 immune system process 
Cfi	immune system	GO:0045087	 innate immune response 
Cfp	immune system	GO:0002376	 immune system process 
Cfp	immune system	GO:0045087	 innate immune response 
Chia1	immune system	GO:0002376	 immune system process 
Chid1	immune system	GO:0002376	 immune system process 
Chid1	immune system	GO:0045087	 innate immune response 
Chuk	immune system	GO:0045087	 innate immune response 
Clec4a2	immune system	GO:0002250	 adaptive immune response 
Clec4a2	immune system	GO:0002376	 immune system process 
Clec4a2	immune system	GO:0045087	 innate immune response 
Clec4d	immune system	GO:0002250	 adaptive immune response 
Clec4d	immune system	GO:0002376	 immune system process 
Clec4d	immune system	GO:0045087	 innate immune response 
Clec4e	immune system	GO:0002376	 immune system process 
Clec4e	immune system	GO:0045087	 innate immune response 
Clec4n	immune system	GO:0002250	 adaptive immune response 
Clec4n	immune system	GO:0002376	 immune system process 
Clec4n	immune system	GO:0045087	 innate immune response 
Clec5a	immune system	GO:0002376	 immune system process 
Clec5a	immune system	GO:0045087	 innate immune response 
Cnpy3	immune system	GO:0002376	 immune system process 
Cnpy3	immune system	GO:0045087	 innate immune response 
Cr1l	immune system	GO:0002376	 immune system process 
Cr1l	immune system	GO:0045087	 innate immune response 
Cr2	immune system	GO:0002376	 immune system process 
Cr2	immune system	GO:0045087	 innate immune response 
Cracr2a	immune system	GO:0002250	 adaptive immune response 
Cracr2a	immune system	GO:0002376	 immune system process 
Crcp	immune system	GO:0002376	 immune system process 
Crcp	immune system	GO:0045087	 innate immune response 
Crtam	immune system	GO:0002250	 adaptive immune response 
Crtam	immune system	GO:0002376	 immune system process 
Csf1	immune system	GO:0002376	 immune system process 
Csf1	immune system	GO:0045087	 innate immune response 
Csf1r	immune system	GO:0002376	 immune system process 
Csf1r	immune system	GO:0045087	 innate immune response 
Csk	immune system	GO:0002250	 adaptive immune response 
Csk	immune system	GO:0002376	 immune system process 
Csk	immune system	GO:0045087	 innate immune response 
Ctla4	immune system	GO:0002250	 adaptive immune response 
Ctla4	immune system	GO:0002376	 immune system process 
Ctps	immune system	GO:0002376	 immune system process 
Cyba	immune system	GO:0045087	 innate immune response 
Cybb	immune system	GO:0045087	 innate immune response 
Cyld	immune system	GO:0002376	 immune system process 
Cyld	immune system	GO:0045087	 innate immune response 
Dab2ip	immune system	GO:0002376	 immune system process 
Dab2ip	immune system	GO:0045087	 innate immune response 
Dbnl	immune system	GO:0002250	 adaptive immune response 
Dbnl	immune system	GO:0002376	 immune system process 
Dclre1c	immune system	GO:0002250	 adaptive immune response 
Dclre1c	immune system	GO:0002376	 immune system process 
Dcstamp	immune system	GO:0002376	 immune system process 
Ddx3x	immune system	GO:0002376	 immune system process 
Ddx3x	immune system	GO:0045087	 innate immune response 
Ddx58	immune system	GO:0002376	 immune system process 
Ddx58	immune system	GO:0045087	 innate immune response 
Defb1	immune system	GO:0045087	 innate immune response 
Defb12	immune system	GO:0045087	 innate immune response 
Defb13	immune system	GO:0045087	 innate immune response 
Defb15	immune system	GO:0045087	 innate immune response 
Defb18	immune system	GO:0045087	 innate immune response 
Defb19	immune system	GO:0045087	 innate immune response 
Defb20	immune system	GO:0045087	 innate immune response 
Defb21	immune system	GO:0045087	 innate immune response 
Defb22	immune system	GO:0045087	 innate immune response 
Defb23	immune system	GO:0045087	 innate immune response 
Defb25	immune system	GO:0045087	 innate immune response 
Defb26	immune system	GO:0045087	 innate immune response 
Defb28	immune system	GO:0045087	 innate immune response 
Defb29	immune system	GO:0045087	 innate immune response 
Defb30	immune system	GO:0045087	 innate immune response 
Defb34	immune system	GO:0045087	 innate immune response 
Defb35	immune system	GO:0045087	 innate immune response 
Defb36	immune system	GO:0045087	 innate immune response 
Defb41	immune system	GO:0045087	 innate immune response 
Defb43	immune system	GO:0045087	 innate immune response 
Defb45	immune system	GO:0045087	 innate immune response 
Dhx58	immune system	GO:0002376	 immune system process 
Dhx58	immune system	GO:0045087	 innate immune response 
Ecsit	immune system	GO:0002376	 immune system process 
Ecsit	immune system	GO:0045087	 innate immune response 
Eif2ak2	immune system	GO:0002376	 immune system process 
Eif2ak2	immune system	GO:0045087	 innate immune response 
Eif2ak4	immune system	GO:0002250	 adaptive immune response 
Eif2ak4	immune system	GO:0002376	 immune system process 
Elf4	immune system	GO:0045087	 innate immune response 
Eomes	immune system	GO:0002250	 adaptive immune response 
Eomes	immune system	GO:0002376	 immune system process 
Erap1	immune system	GO:0002250	 adaptive immune response 
Erap1	immune system	GO:0002376	 immune system process 
Ets1	immune system	GO:0002376	 immune system process 
Exo1	immune system	GO:0002376	 immune system process 
F2rl1	immune system	GO:0002376	 immune system process 
F2rl1	immune system	GO:0045087	 innate immune response 
Fadd	immune system	GO:0002376	 immune system process 
Fadd	immune system	GO:0045087	 innate immune response 
Fbxo9	immune system	GO:0045087	 innate immune response 
Fcamr	immune system	GO:0002250	 adaptive immune response 
Fcamr	immune system	GO:0002376	 immune system process 
Fcer1g	immune system	GO:0045087	 innate immune response 
Fcgr1	immune system	GO:0002376	 immune system process 
Fcgr1	immune system	GO:0045087	 innate immune response 
Fcmr	immune system	GO:0002376	 immune system process 
Fcna	immune system	GO:0002376	 immune system process 
Fcna	immune system	GO:0045087	 innate immune response 
Fcnb	immune system	GO:0002376	 immune system process 
Fcnb	immune system	GO:0045087	 innate immune response 
Fer	immune system	GO:0045087	 innate immune response 
Fes	immune system	GO:0045087	 innate immune response 
Ffar2	immune system	GO:0002376	 immune system process 
Ffar3	immune system	GO:0002376	 immune system process 
Fga	immune system	GO:0002250	 adaptive immune response 
Fga	immune system	GO:0002376	 immune system process 
Fga	immune system	GO:0045087	 innate immune response 
Fgb	immune system	GO:0002250	 adaptive immune response 
Fgb	immune system	GO:0002376	 immune system process 
Fgb	immune system	GO:0045087	 innate immune response 
Fgg	immune system	GO:0002250	 adaptive immune response 
Fgg	immune system	GO:0002376	 immune system process 
Fgg	immune system	GO:0045087	 innate immune response 
Fgr	immune system	GO:0002376	 immune system process 
Fgr	immune system	GO:0045087	 innate immune response 
Frk	immune system	GO:0045087	 innate immune response 
Fyn	immune system	GO:0002250	 adaptive immune response 
Fyn	immune system	GO:0002376	 immune system process 
Fyn	immune system	GO:0045087	 innate immune response 
Gata3	immune system	GO:0002376	 immune system process 
Gata3	immune system	GO:0045087	 innate immune response 
Gbp2b	immune system	GO:0002376	 immune system process 
Gbp5	immune system	GO:0002376	 immune system process 
Gm13271	immune system	GO:0002250	 adaptive immune response 
Gm13271	immune system	GO:0045087	 innate immune response 
Gm13272	immune system	GO:0002250	 adaptive immune response 
Gm13272	immune system	GO:0045087	 innate immune response 
Gm13275	immune system	GO:0002250	 adaptive immune response 
Gm13275	immune system	GO:0045087	 innate immune response 
Gm13276	immune system	GO:0002250	 adaptive immune response 
Gm13276	immune system	GO:0045087	 innate immune response 
Gm13277	immune system	GO:0002250	 adaptive immune response 
Gm13277	immune system	GO:0045087	 innate immune response 
Gm13278	immune system	GO:0002250	 adaptive immune response 
Gm13278	immune system	GO:0045087	 innate immune response 
Gm13279	immune system	GO:0002250	 adaptive immune response 
Gm13279	immune system	GO:0045087	 innate immune response 
Gm13283	immune system	GO:0002250	 adaptive immune response 
Gm13283	immune system	GO:0045087	 innate immune response 
Gm13285	immune system	GO:0002250	 adaptive immune response 
Gm13285	immune system	GO:0045087	 innate immune response 
Gm13287	immune system	GO:0002250	 adaptive immune response 
Gm13287	immune system	GO:0045087	 innate immune response 
Gm13288	immune system	GO:0002250	 adaptive immune response 
Gm13288	immune system	GO:0045087	 innate immune response 
Gm13289	immune system	GO:0002250	 adaptive immune response 
Gm13289	immune system	GO:0045087	 innate immune response 
Gm13290	immune system	GO:0002250	 adaptive immune response 
Gm13290	immune system	GO:0045087	 innate immune response 
Gm17416	immune system	GO:0045087	 innate immune response 
Gper1	immune system	GO:0002376	 immune system process 
Gper1	immune system	GO:0045087	 innate immune response 
Gpr183	immune system	GO:0002250	 adaptive immune response 
Gpr183	immune system	GO:0002376	 immune system process 
Gsdmd	immune system	GO:0002376	 immune system process 
Gsdmd	immune system	GO:0045087	 innate immune response 
H2-Aa	immune system	GO:0002376	 immune system process 
H2-Ab1	immune system	GO:0002376	 immune system process 
H2-D1	immune system	GO:0002376	 immune system process 
H2-DMa	immune system	GO:0002376	 immune system process 
H2-DMb1	immune system	GO:0002376	 immune system process 
H2-Eb1	immune system	GO:0002376	 immune system process 
H2-K1	immune system	GO:0002376	 immune system process 
H2-L	immune system	GO:0002376	 immune system process 
H2-Q10	immune system	GO:0002376	 immune system process 
H2-Q7	immune system	GO:0002376	 immune system process 
H2-T23	immune system	GO:0002250	 adaptive immune response 
H2-T23	immune system	GO:0002376	 immune system process 
H60b	immune system	GO:0002376	 immune system process 
H60c	immune system	GO:0002376	 immune system process 
Havcr2	immune system	GO:0002250	 adaptive immune response 
Havcr2	immune system	GO:0002376	 immune system process 
Havcr2	immune system	GO:0045087	 innate immune response 
Hc	immune system	GO:0002376	 immune system process 
Hc	immune system	GO:0045087	 innate immune response 
Hck	immune system	GO:0002376	 immune system process 
Hck	immune system	GO:0045087	 innate immune response 
Herc6	immune system	GO:0002376	 immune system process 
Herc6	immune system	GO:0045087	 innate immune response 
Hmgb2	immune system	GO:0002376	 immune system process 
Hmgb2	immune system	GO:0045087	 innate immune response 
Hmgb3	immune system	GO:0002376	 immune system process 
Hmgb3	immune system	GO:0045087	 innate immune response 
Hp	immune system	GO:0002376	 immune system process 
Icosl	immune system	GO:0002250	 adaptive immune response 
Icosl	immune system	GO:0002376	 immune system process 
Ido1	immune system	GO:0002376	 immune system process 
Ido2	immune system	GO:0002376	 immune system process 
Ifi30	immune system	GO:0002376	 immune system process 
Ifih1	immune system	GO:0002376	 immune system process 
Ifih1	immune system	GO:0045087	 innate immune response 
Ifit1	immune system	GO:0002376	 immune system process 
Ifit1	immune system	GO:0045087	 innate immune response 
Ifit2	immune system	GO:0002376	 immune system process 
Ifit2	immune system	GO:0045087	 innate immune response 
Ifit3	immune system	GO:0002376	 immune system process 
Ifit3	immune system	GO:0045087	 innate immune response 
Ifitm1	immune system	GO:0002376	 immune system process 
Ifitm1	immune system	GO:0045087	 innate immune response 
Ifitm2	immune system	GO:0002376	 immune system process 
Ifitm2	immune system	GO:0045087	 innate immune response 
Ifitm3	immune system	GO:0002376	 immune system process 
Ifitm3	immune system	GO:0045087	 innate immune response 
Ifna1	immune system	GO:0002250	 adaptive immune response 
Ifna1	immune system	GO:0045087	 innate immune response 
Ifna11	immune system	GO:0002250	 adaptive immune response 
Ifna11	immune system	GO:0045087	 innate immune response 
Ifna12	immune system	GO:0002250	 adaptive immune response 
Ifna12	immune system	GO:0045087	 innate immune response 
Ifna13	immune system	GO:0002250	 adaptive immune response 
Ifna13	immune system	GO:0045087	 innate immune response 
Ifna14	immune system	GO:0002250	 adaptive immune response 
Ifna14	immune system	GO:0045087	 innate immune response 
Ifna15	immune system	GO:0002250	 adaptive immune response 
Ifna15	immune system	GO:0045087	 innate immune response 
Ifna16	immune system	GO:0002250	 adaptive immune response 
Ifna16	immune system	GO:0045087	 innate immune response 
Ifna2	immune system	GO:0002250	 adaptive immune response 
Ifna2	immune system	GO:0045087	 innate immune response 
Ifna4	immune system	GO:0002250	 adaptive immune response 
Ifna4	immune system	GO:0045087	 innate immune response 
Ifna5	immune system	GO:0002250	 adaptive immune response 
Ifna5	immune system	GO:0045087	 innate immune response 
Ifna6	immune system	GO:0002250	 adaptive immune response 
Ifna6	immune system	GO:0045087	 innate immune response 
Ifna7	immune system	GO:0002250	 adaptive immune response 
Ifna7	immune system	GO:0045087	 innate immune response 
Ifna9	immune system	GO:0002250	 adaptive immune response 
Ifna9	immune system	GO:0045087	 innate immune response 
Ifnab	immune system	GO:0002250	 adaptive immune response 
Ifnab	immune system	GO:0045087	 innate immune response 
Ifnb1	immune system	GO:0002250	 adaptive immune response 
Ifnb1	immune system	GO:0045087	 innate immune response 
Ifne	immune system	GO:0002250	 adaptive immune response 
Ifne	immune system	GO:0045087	 innate immune response 
Ifng	immune system	GO:0002250	 adaptive immune response 
Ifnk	immune system	GO:0002250	 adaptive immune response 
Ifnk	immune system	GO:0045087	 innate immune response 
Ifnl2	immune system	GO:0045087	 innate immune response 
Ifnl3	immune system	GO:0045087	 innate immune response 
Ifnz	immune system	GO:0002250	 adaptive immune response 
Ifnz	immune system	GO:0045087	 innate immune response 
Ighe	immune system	GO:0045087	 innate immune response 
Ighg	immune system	GO:0045087	 innate immune response 
Ighg1	immune system	GO:0045087	 innate immune response 
Ighg2a	immune system	GO:0045087	 innate immune response 
Ighg2b	immune system	GO:0045087	 innate immune response 
Ighg2c	immune system	GO:0045087	 innate immune response 
Ighm	immune system	GO:0045087	 innate immune response 
Ighv1-61	immune system	GO:0045087	 innate immune response 
Ighv1-62-3	immune system	GO:0045087	 innate immune response 
Ighv1-72	immune system	GO:0045087	 innate immune response 
Ighv1-73	immune system	GO:0045087	 innate immune response 
Ighv1-83	immune system	GO:0045087	 innate immune response 
Ighv1-84	immune system	GO:0045087	 innate immune response 
Ighv2-4	immune system	GO:0045087	 innate immune response 
Ighv3-5	immune system	GO:0045087	 innate immune response 
Ighv3-6	immune system	GO:0045087	 innate immune response 
Ighv6-4	immune system	GO:0045087	 innate immune response 
Ighv6-5	immune system	GO:0045087	 innate immune response 
Igkc	immune system	GO:0045087	 innate immune response 
Iglc2	immune system	GO:0045087	 innate immune response 
Iglc3	immune system	GO:0045087	 innate immune response 
Igll1	immune system	GO:0045087	 innate immune response 
Iigp1	immune system	GO:0002376	 immune system process 
Iigp1	immune system	GO:0045087	 innate immune response 
Ikbkb	immune system	GO:0045087	 innate immune response 
Il1f5	immune system	GO:0002376	 immune system process 
Il1f5	immune system	GO:0045087	 innate immune response 
Il1f6	immune system	GO:0002376	 immune system process 
Il1f6	immune system	GO:0045087	 innate immune response 
Il1f8	immune system	GO:0002376	 immune system process 
Il1f8	immune system	GO:0045087	 innate immune response 
Il1f9	immune system	GO:0002376	 immune system process 
Il1f9	immune system	GO:0045087	 innate immune response 
Il1rap	immune system	GO:0002376	 immune system process 
Il1rap	immune system	GO:0045087	 innate immune response 
Il1rl2	immune system	GO:0002376	 immune system process 
Il1rl2	immune system	GO:0045087	 innate immune response 
Il2	immune system	GO:0002250	 adaptive immune response 
Il2	immune system	GO:0002376	 immune system process 
Il23a	immune system	GO:0002376	 immune system process 
Il23a	immune system	GO:0045087	 innate immune response 
Il23r	immune system	GO:0002376	 immune system process 
Il23r	immune system	GO:0045087	 innate immune response 
Il27	immune system	GO:0002376	 immune system process 
Il27	immune system	GO:0045087	 innate immune response 
Il2ra	immune system	GO:0002376	 immune system process 
Il31	immune system	GO:0002376	 immune system process 
Il31ra	immune system	GO:0002376	 immune system process 
Il34	immune system	GO:0002376	 immune system process 
Il34	immune system	GO:0045087	 innate immune response 
Il4ra	immune system	GO:0002376	 immune system process 
Inpp5d	immune system	GO:0002376	 immune system process 
Inppl1	immune system	GO:0002376	 immune system process 
Ipo7	immune system	GO:0045087	 innate immune response 
Irak1	immune system	GO:0002376	 immune system process 
Irak1	immune system	GO:0045087	 innate immune response 
Irak4	immune system	GO:0002376	 immune system process 
Irak4	immune system	GO:0045087	 innate immune response 
Irf1	immune system	GO:0002376	 immune system process 
Irf1	immune system	GO:0045087	 innate immune response 
Irf3	immune system	GO:0002376	 immune system process 
Irf3	immune system	GO:0045087	 innate immune response 
Irf5	immune system	GO:0002376	 immune system process 
Irf5	immune system	GO:0045087	 innate immune response 
Irf7	immune system	GO:0002376	 immune system process 
Irf7	immune system	GO:0045087	 innate immune response 
Irgm1	immune system	GO:0002376	 immune system process 
Irgm1	immune system	GO:0045087	 innate immune response 
Isg20	immune system	GO:0002376	 immune system process 
Isg20	immune system	GO:0045087	 innate immune response 
Itch	immune system	GO:0002376	 immune system process 
Itch	immune system	GO:0045087	 innate immune response 
Itk	immune system	GO:0002250	 adaptive immune response 
Itk	immune system	GO:0002376	 immune system process 
Itk	immune system	GO:0045087	 innate immune response 
Jagn1	immune system	GO:0002376	 immune system process 
Jak1	immune system	GO:0045087	 innate immune response 
Jak2	immune system	GO:0002250	 adaptive immune response 
Jak2	immune system	GO:0002376	 immune system process 
Jak2	immune system	GO:0045087	 innate immune response 
Jak3	immune system	GO:0002250	 adaptive immune response 
Jak3	immune system	GO:0002376	 immune system process 
Jak3	immune system	GO:0045087	 innate immune response 
Jam3	immune system	GO:0002250	 adaptive immune response 
Jchain	immune system	GO:0002250	 adaptive immune response 
Jchain	immune system	GO:0045087	 innate immune response 
Kcnn4	immune system	GO:0002376	 immune system process 
Klrg1	immune system	GO:0002376	 immune system process 
Klrg1	immune system	GO:0045087	 innate immune response 
Klrk1	immune system	GO:0002250	 adaptive immune response 
Klrk1	immune system	GO:0002376	 immune system process 
Klrk1	immune system	GO:0045087	 innate immune response 
Krt16	immune system	GO:0002376	 immune system process 
Krt16	immune system	GO:0045087	 innate immune response 
Lamp3	immune system	GO:0002250	 adaptive immune response 
Lamp3	immune system	GO:0002376	 immune system process 
Lat	immune system	GO:0002250	 adaptive immune response 
Lat	immune system	GO:0002376	 immune system process 
Lat2	immune system	GO:0002250	 adaptive immune response 
Lat2	immune system	GO:0002376	 immune system process 
Lax1	immune system	GO:0002250	 adaptive immune response 
Lax1	immune system	GO:0002376	 immune system process 
Lbp	immune system	GO:0002376	 immune system process 
Lbp	immune system	GO:0045087	 innate immune response 
Lck	immune system	GO:0045087	 innate immune response 
Lcn2	immune system	GO:0002376	 immune system process 
Lcn2	immune system	GO:0045087	 innate immune response 
Lgals3	immune system	GO:0002376	 immune system process 
Lgals3	immune system	GO:0045087	 innate immune response 
Lgals9	immune system	GO:0002376	 immune system process 
Lgr4	immune system	GO:0002376	 immune system process 
Lgr4	immune system	GO:0045087	 innate immune response 
Lilrb4a	immune system	GO:0002250	 adaptive immune response 
Lilrb4a	immune system	GO:0002376	 immune system process 
Lime1	immune system	GO:0002250	 adaptive immune response 
Lime1	immune system	GO:0002376	 immune system process 
Lrmp	immune system	GO:0002376	 immune system process 
Lst1	immune system	GO:0002376	 immune system process 
Ltf	immune system	GO:0002376	 immune system process 
Ly86	immune system	GO:0002376	 immune system process 
Ly86	immune system	GO:0045087	 innate immune response 
Ly9	immune system	GO:0002250	 adaptive immune response 
Ly9	immune system	GO:0002376	 immune system process 
Ly9	immune system	GO:0045087	 innate immune response 
Ly96	immune system	GO:0002376	 immune system process 
Ly96	immune system	GO:0045087	 innate immune response 
Lyn	immune system	GO:0002250	 adaptive immune response 
Lyn	immune system	GO:0002376	 immune system process 
Lyn	immune system	GO:0045087	 innate immune response 
Map3k5	immune system	GO:0002376	 immune system process 
Map3k5	immune system	GO:0045087	 innate immune response 
Map3k8	immune system	GO:0002376	 immune system process 
Map4k2	immune system	GO:0002376	 immune system process 
Map4k2	immune system	GO:0045087	 innate immune response 
March1	immune system	GO:0002376	 immune system process 
March8	immune system	GO:0002250	 adaptive immune response 
March8	immune system	GO:0002376	 immune system process 
Marco	immune system	GO:0002376	 immune system process 
Marco	immune system	GO:0045087	 innate immune response 
Masp1	immune system	GO:0002376	 immune system process 
Masp1	immune system	GO:0045087	 innate immune response 
Masp2	immune system	GO:0002376	 immune system process 
Masp2	immune system	GO:0045087	 innate immune response 
Matk	immune system	GO:0045087	 innate immune response 
Mavs	immune system	GO:0002376	 immune system process 
Mavs	immune system	GO:0045087	 innate immune response 
Mb21d1	immune system	GO:0002376	 immune system process 
Mb21d1	immune system	GO:0045087	 innate immune response 
Mbl1	immune system	GO:0002376	 immune system process 
Mbl1	immune system	GO:0045087	 innate immune response 
Mbl2	immune system	GO:0002376	 immune system process 
Mbl2	immune system	GO:0045087	 innate immune response 
Mcm3ap	immune system	GO:0002376	 immune system process 
Mefv	immune system	GO:0002376	 immune system process 
Mefv	immune system	GO:0045087	 innate immune response 
Mfsd6	immune system	GO:0002250	 adaptive immune response 
Mfsd6	immune system	GO:0002376	 immune system process 
Mid2	immune system	GO:0045087	 innate immune response 
Mif	immune system	GO:0002376	 immune system process 
Mif	immune system	GO:0045087	 innate immune response 
Mr1	immune system	GO:0002376	 immune system process 
Mr1	immune system	GO:0045087	 innate immune response 
Msrb1	immune system	GO:0002376	 immune system process 
