EntrezID	miRNA	RegulatoryType
1869	mir-93	Activation
1871	let-7a	Activation
1871	let-7b	Activation
1871	let-7c	Activation
1871	let-7d	Activation
1871	let-7i	Activation
1871	mir-15b	Activation
1871	mir-15a	Activation
1871	mir-16	Activation
1871	mir-195	Activation
1871	mir-106b	Activation
1871	mir-25	Activation
1871	mir-93	Activation
6688	miR-23a	Activation
7040	let-7d	Repression
5728	miR-22	Activation
5728	miR-25	Activation
5728	miR-302	Activation
2099	miR-221	Activation
2099	miR-222	Activation
7157	miR-34a	Activation
6426	miR-7	Activation
6426	miR-221	Activation
6426	miR-222	Activation
3456	miR143	Activation
3458	miR143	Activation
3456	miR145	Activation
3458	miR145	Activation
7097	miR-146a	Activation
7040	miR-146a	Activation
6688	miR-146a	Activation
2309	miR-21	Repression
6657	miR-137	Regulation
2146	miR-137	Regulation
4204	miR-137	Regulation
10365	mir-126	Activation
3569	miR-519c	Regulation
3565	miR-29a	Repression
5155	miR-29a	Repression
7040	miR-29a	Repression
9971	miR-34a	Repression
7157	miR-34a	Activation
7157	miR-34c	Activation
7157	miR-125b	Repression
7157	miR-155	Repression
1960	miR-195	regulatory network
3091	miR-372	Activation
3091	miR-373	Activation
7291	miR-372	Activation
7291	miR-373	Activation
3845	miR-21	Activation
4893	miR-21	Activation
3265	miR-21	Activation
3569	miR-148a	Repression
3569	miR-152	Repression
3569	miR-301	Repression
657	miR-21	Regulation
658	miR-21	Regulation
7040	miR-224	Activation
8742	miR-1	Repression
8742	miR-133a	Repression
8742	miR-133b	Repression
8742	miR-206	Repression
8742	miR-146a	Activation
8742	miR-455	Activation
8742	miR-21	Regulation
4613	miR-19a	Activation
4613	miR-18a	Activation
4613	miR-421	Regulation
4798	miR-146a	Activation
4609	miR-141	Regulation
51297	miR-141	Regulation
5728	miR-21	Regulation
1017	miR-449	auto-regulatory feedback circuit
1018	miR-449	auto-regulatory feedback circuit
1019	miR-449	auto-regulatory feedback circuit
1020	miR-449	auto-regulatory feedback circuit
1021	miR-449	auto-regulatory feedback circuit
1022	miR-449	auto-regulatory feedback circuit
1024	miR-449	auto-regulatory feedback circuit
1025	miR-449	auto-regulatory feedback circuit
5925	miR-449	auto-regulatory feedback circuit
1869	miR-449	auto-regulatory feedback circuit
1869	miR-223	autoregulatory negative feedback loop
7040	miR-181b	Activation
3755	miR-146a	Activation
5154	miR-24	Regulation
7040	miR-24	Regulation
6776	miR-15	Repression
6776	miR-16	Repression
1050	miR-223	Regulation
4609	miR-17	Regulation
4609	miR-19a	Regulation
4609	miR-19b	Regulation
4609	miR-200	regulation
4609	miR-429	regulation
4609	miR-141	regulation
7124	miR-31	Activation
7124	miR-17	Activation
207	let-7e	Activation
207	miR-181c	Activation
207	miR-155	Repression
207	miR-125b	Repression
4088	miR-451	Activation
389421	let-7g	Repression
103	mir-376a	regulation
2099	mir-17	Activation
2099	mir-18a	Activation
2099	mir-19a	Activation
2099	mir-19b	Activation
2099	mir-20a	Activation
2099	mir-92a	Activation
2099	mir-106a	Activation
2099	mir-18b	Activation
2099	mir-19b	Activation
2099	mir-20b	Activation
2099	mir-363	Activation
2099	mir-92a	Activation
6774	miR-21	Activation
