gene	specific tissue
Mettl21e	Lung
Gm14009	Liver
Gm15755	Testis
Gm15759	Bladder
Cst11	Genital Adipose
Gm15205	Testis
Cst13	Testis
Gm15200	Large Intestine
4921511C20Rik	Testis
Gm11213	Testis
Gm13782	Limb
Gm11217	Testis
Mup6	Genital Adipose
Gm14266	Testis
4931413I07Rik	Testis
Ppp3r2	Testis
Mup1	Liver
Svs4	Subcutaneous Adipose
Svs2	Subcutaneous Adipose
Lrcol1	Genital Adipose
4930453H23Rik	Testis
Gm19518	Testis
Gm16311	Testis
Krt42	Thymus
4933423P22Rik	Testis
1700007M16Rik	Testis
Trdv1	Thymus
Gm11697	Limb
Trdv5	Thymus
Gm11691	Testis
Dnajc5g	Testis
1700001J04Rik	Testis
Gm15199	Bladder
4930443O20Rik	Testis
1700013H16Rik	Testis
Krtap5-5	Small Intestine
Usp26	Testis
Cyp26c1	Central Nervous System
C78197	Thymus
Gm15990	Testis
4930433N12Rik	Testis
Gm16083	Central Nervous System
Gm16086	Thymus
Crnn	Limb
Trbv4	Thymus
Trbv3	Thymus
Trbv2	Thymus
Gm7347	Testis
Gm13348	Testis
4930527A07Rik	Testis
Gm1979	Testis
Tmem225	Testis
4930579O11Rik	Testis
Gm15507	Ovary
Clec4b2	Liver
Spesp1	Testis
Gm7932	Kidney
1700006A11Rik	Testis
Kif2b	Testis
Wfdc11	Genital Adipose
Ces4a	Liver
4930595D18Rik	Testis
Sprr2h	Frontal Lobe
Sprr2e	Stomach
Prss54	Testis
Rhox4g	Placenta
Prss51	Testis
Olfr325	Testis
Calcoco2	Placenta
Prss58	Testis
Snord68	Placenta
1700109G15Rik	Testis
1700057H15Rik	Testis
Cypt3	Testis
4930449E01Rik	Testis
4933406F09Rik	Testis
4930579F01Rik	Testis
1700015F17Rik	Testis
Tlx1os	Testis
Zc2hc1b	Testis
E230015B07Rik	Genital Adipose
Gm9947	Cortex
Gm24339	Liver
Pet2	Testis
Cyp2j11	Kidney
Gm21989	Placenta
4931400O07Rik	Testis
4930590J08Rik	Testis
Defb18	Genital Adipose
Defb14	Testis
Defb15	Genital Adipose
Olfr432	Spleen
Gm4491	Cortex
Defb12	Genital Adipose
Defb13	Genital Adipose
1700039E15Rik	Testis
Gm11635	Testis
1700104B16Rik	Testis
Gm6729	Testis
Trdv2-2	Thymus
Gm15338	Cortex
Acrv1	Testis
4930463O16Rik	Testis
2310044K18Rik	Testis
Gm9837	Testis
Gm14812	Testis
Trim60	Ovary
Banf2	Testis
Izumo3	Testis
Gm23346	Cerebellum
Dynap	Ovary
Rnase11	Genital Adipose
Hist1h1t	Testis
Krtap13	Colon
4933413L06Rik	Testis
Slc26a5	Placenta
Sult2a5	Liver
Sult2a3	Liver
Trpd52l3	Testis
Gm14100	Bladder
Gm14104	Testis
4933406J10Rik	Testis
Gm11444	Testis
Klrc3	Mammary Gland
Gm15562	Cerebellum
Gm15569	Testis
Rfpl4	Ovary
Smim23	Testis
Gm13976	Testis
1700016G14Rik	Testis
Gm14617	Testis
Gm15747	Testis
Gm15966	Testis
Gm12531	Testis
Gm12532	Testis
Loxhd1	Testis
4930551L18Rik	Testis
n-R5s160	Liver
Best2	Colon
4933428M09Rik	Testis
Gm6086	Colon
Rrh	Central Nervous System
Gm884	Testis
Bcas1os2	Testis
1700010H22Rik	Testis
4921511H03Rik	Testis
Gm13807	Testis
Cylc1	Testis
Cylc2	Testis
Gm12404	Testis
Mageb18	Testis
Gm16322	Testis
Gm11537	Thymus
1700030A11Rik	Testis
4933407I08Rik	Testis
A730013G03Rik	Limb
Khdc1c	Placenta
Khdc1b	Ovary
1700010K23Rik	Testis
4933409G03Rik	Testis
Gm17120	Testis
Ifi202b	Limb
Cdrt4os1	Testis
Cdrt4os2	Testis
Olfr71	Lung
4930442L01Rik	Testis
Hormad1	Testis
Gm25321	Placenta
Ftmt	Testis
Hrh4	Testis
Gm13598	Testis
Fam187a	Testis
Prdm14	Placenta
Gm13372	Liver
1700017N19Rik	Testis
Gm13575	Genital Adipose
Gm3848	Testis
4933427J07Rik	Testis
Gm16059	Bladder
Gm13322	Cortex
4930557F10Rik	Testis
Dmrtc1c2	Placenta
Dmrtc1c1	Placenta
C230066G23Rik	Central Nervous System
Uts2	Cerebellum
Gm15658	Large Intestine
Syce1l	Testis
Fgf6	Limb
Gm10475	Testis
Fgf4	Limb
Gm10471	Testis
Smco1	Heart
Gm3443	Testis
Ceacam15	Placenta
Satl1	Testis
4933435F18Rik	Testis
Toporsl	Testis
Gm20485	Ovary
Gm20484	Testis
Odam	Genital Adipose
1700120B22Rik	Testis
Pard3bos3	Liver
1700061F12Rik	Testis
Pard3bos1	Testis
Plxna4os3	Testis
9530002B09Rik	Testis
Cts7	Placenta
4930432L08Rik	Testis
Olfr199	Testis
Gm17677	Genital Adipose
Psmb11	Thymus
1700025D23Rik	Testis
4933417A18Rik	Testis
Lce3d	Stomach
Lce3e	Stomach
Lce3a	Stomach
4930512M02Rik	Testis
Lce3c	Stomach
Gm10722	Whole Brain
Gm24253	Placenta
Spinkl	Genital Adipose
Pdcl2	Testis
4933400A11Rik	Testis
Ugt2a2	Frontal Lobe
Ugt2a1	Frontal Lobe
Tex43	Testis
Ssmem1	Testis
Gm14809	Testis
4930538E20Rik	Testis
Gm14773	Testis
1700121N20Rik	Testis
1700023H06Rik	Testis
Gm14372	Thymus
Etv2	Testis
Gm12962	Kidney
Gm11523	Limb
Mipepos	Testis
4930597A21Rik	Spleen
Cabp4	Spleen
Gm14114	Whole Brain
Gm11184	Testis
Gm15512	Cerebellum
Gm15511	Testis
Gm22884	Cerebellum
4931417E11Rik	Testis
Gm13963	Large Intestine
Gm13964	Testis
Gm11232	Subcutaneous Adipose
Gm15738	Testis
Fam186a	Testis
4930456L15Rik	Testis
Gm12505	Testis
Gm15735	Cerebellum
Gm12506	Colon
Gm14597	Testis
Vmn2r7	Testis
Magea2	Placenta
Vmn2r2	Cerebellum
Magea4	Testis
C230038L03Rik	Testis
1700121C08Rik	Testis
Ccdc154	Testis
Gm12434	Testis
Brs3	Central Nervous System
Gm12865	Testis
Gm15350	Testis
Gm15353	Placenta
Krt28	Cerebellum
Gm12347	Mammary Gland
Gm12348	Testis
Krt27	Placenta
Krt24	Cerebellum
Prop1	Ovary
0610012D04Rik	Placenta
Capza3	Testis
Gm8267	Testis
Gm6890	Testis
4930513O06Rik	Testis
Gm13103	Ovary
4930441J16Rik	Testis
Gm17114	Colon
Smim9	Testis
Gm17111	Testis
Gm12763	Testis
Mir675	Frontal Lobe
Gm12766	Limb
Antxrl	Testis
4930522N08Rik	Testis
Ccer1	Testis
4930407I10Rik	Testis
Trim30c	Liver
Gm12295	Heart
