gene	specific tissue
Csnka2ip	Testis
Gm12909	Liver
Olfr112	Testis
Lrrc72	Testis
4930440I19Rik	Testis
Olfr1414	Genital Adipose
Wfdc15a	Testis
Gm14089	Testis
Grip1os1	Testis
Grip1os3	Ovary
Myadml2os	Heart
4930444E06Rik	Testis
Gm14244	Testis
Cfc1	Ovary
Gm14064	Testis
Trgv2	Thymus
Gm4884	Testis
Avpr2	Kidney
Ambn	Limb
Gm13872	Testis
Olfr1250	Ovary
Cyct	Testis
Gm14401	Placenta
Gm14409	Placenta
Ptpn20	Testis
Gm11588	Thymus
1700008P02Rik	Testis
Hmgb4os	Testis
Gm25266	Whole Brain
Gm6904	Bladder
Gm11583	Central Nervous System
Prss43	Testis
Flg2	Mammary Gland
Gm12665	Testis
Gm1110	Genital Adipose
AI481877	Testis
Pramel3	Testis
Gm15130	Testis
1700045H11Rik	Testis
Gm16240	Testis
Cyp4f37	Testis
Gm12580	Limb
Snora2b	Whole Brain
Gm12236	Subcutaneous Adipose
Gm22643	Limb
Gm5218	Liver
4930555O08Rik	Testis
Gm813	Ovary
Gm11754	Kidney
4921539E11Rik	Testis
Gm16022	Testis
Slc22a28	Kidney
Gm13291	Testis
Gm12052	Testis
Mir1839	Central Nervous System
Mir214	Placenta
Prss1	Spleen
Gm6812	Testis
Gm1667	Lung
Gm13619	Cerebellum
4930591A17Rik	Testis
Far1os	Testis
Krt33b	Limb
Gm10401	Central Nervous System
4932412D23Rik	Testis
Srrm4os	Liver
Gm13479	Heart
Gm16116	Liver
Spink13	Genital Adipose
Spink11	Genital Adipose
Gm4763	Testis
Gm13184	Testis
4932429P05Rik	Testis
4933424L21Rik	Testis
4930470P17Rik	Testis
1700071G01Rik	Testis
Gm362	Testis
Mc3r	Central Nervous System
Gm3327	Testis
Spata31d1a	Testis
Spata31d1c	Testis
Spata31d1d	Testis
AW822073	Testis
4930502E09Rik	Testis
A530021J07Rik	Cortex
Fsip2	Testis
1700111E14Rik	Testis
1700007P06Rik	Testis
Olfr985	Placenta
Doxl2	Placenta
Gm10750	Testis
4930522H14Rik	Testis
Trim75	Ovary
Tomm20l	Testis
Hoxc13	Limb
Hoxc12	Limb
Zfy2	Testis
4930412F09Rik	Testis
4931431F19Rik	Testis
Prl7c1	Placenta
Gm3235	Heart
4933436I01Rik	Testis
Frem3	Genital Adipose
Gm24888	Cortex
Slc7a12	Kidney
4930553M12Rik	Testis
Sept14	Testis
Gm12911	Testis
Gm12916	Genital Adipose
Lipi	Genital Adipose
Gm10354	Testis
Pmis2	Testis
Lrrc69	Testis
Lrrc63	Testis
Olfr161	Testis
Tmem132cos	Testis
Gm8439	Genital Adipose
Gm23455	Central Nervous System
Gm23458	Central Nervous System
Rxfp4	Lung
Tpte	Testis
4930583P06Rik	Testis
Cryba1	Central Nervous System
D5Ertd615e	Testis
1700010K24Rik	Testis
Olfr761	Testis
A130023I24Rik	Thymus
D830013O20Rik	Heart
Btnl6	Large Intestine
Gm15737	Bladder
4933428G20Rik	Testis
Npffr2	Frontal Lobe
Gm15864	Testis
Gm23240	Cerebellum
4932411N23Rik	Testis
Cyp2c50	Liver
Chn1os1	Cortex
Bpifa6	Testis
Gm14471	Testis
Mroh9	Testis
Trav8-1	Thymus
Spam1	Testis
Cyp4a30b	Genital Adipose
Gm25929	Whole Brain
Vrtn	Ovary
Spdye4b	Testis
Spdye4c	Testis
Spdye4a	Testis
4930449I24Rik	Testis
F630206G17Rik	Liver
Pitpnm2os1	Testis
Csf2	Lung
4930404H24Rik	Testis
Klri2	Spleen
Gm16231	Testis
Gm15124	Testis
Gm11934	Central Nervous System
Gm15908	Testis
Gm11240	Testis
Gm15904	Testis
Gm22496	Cerebellum
Gm12223	Testis
Tex101	Testis
Mgat4e	Testis
Mgat4d	Testis
Gm10176	Testis
4930570D08Rik	Testis
Cntrobos	Testis
1700014D04Rik	Testis
Gm5624	Testis
Gm13063	Lung
AY702103	Testis
Gm13269	Placenta
Gm16347	Testis
Gm13266	Testis
Gm11802	Testis
Adam6a	Testis
1700069B07Rik	Testis
4930556N13Rik	Testis
4930430A15Rik	Testis
Fbxw13	Ovary
Gm17180	Genital Adipose
Dmrtc2	Testis
Gm16160	Lung
Gm5152	Testis
Eddm3b	Genital Adipose
Fbxw14	Ovary
Ccdc27	Testis
Ccdc34os	Testis
Ccr1l1	Placenta
Trbv26	Thymus
Gm15643	Testis
Gja10	Testis
Gm3043	Whole Brain
Kcnmb3	Testis
Gm13084	Ovary
Olfr224	Heart
Xlr5c	Placenta
4933416C03Rik	Testis
Gm5797	Placenta
1700010D01Rik	Testis
Gm12853	Testis
4931406G06Rik	Testis
Snord80	Liver
1700007B14Rik	Testis
4930505O20Rik	Testis
Gm20400	Kidney
Gm20403	Spleen
Hdhd1a	Testis
Gm24893	Whole Brain
Trav8d-2	Thymus
1700099I09Rik	Testis
Gm15906	Cerebellum
Gm17416	Genital Adipose
4921504E06Rik	Testis
Fbxw21	Ovary
Fbxw20	Ovary
Clnk	Testis
D430040D24Rik	Bladder
Fbxw24	Ovary
Crisp4	Genital Adipose
C87198	Lung
Vmn1r43	Testis
1700113H08Rik	Testis
Gm26167	Liver
Ovch2	Genital Adipose
Sox5it	Testis
Hopxos	Cerebellum
Myo3a	Colon
Gm14262	Testis
Aknaos	Testis
Usp46os1	Testis
Usp46os2	Testis
Arl4aos	Testis
Gm11748	Placenta
Astl	Ovary
1700031F05Rik	Testis
4930453O03Rik	Testis
1700080N15Rik	Testis
Gm9513	Placenta
1700028P15Rik	Testis
Gm15632	Testis
4930568D16Rik	Testis
D930015M05Rik	Kidney
9230110F15Rik	Genital Adipose
Tcl1b2	Ovary
Tcl1b3	Ovary
Tcl1b1	Ovary
Tcl1b4	Ovary
Tcl1b5	Ovary
Gm11634	Testis
4930423M02Rik	Testis
Ddi1	Testis
Gm15486	Testis
4930473A02Rik	Testis
Gm12107	Testis
Gm11639	Testis
Myoz3	Stomach
Magea10	Testis
Luzp4	Placenta
Kis2	Thymus
Adam26a	Testis
Adam26b	Testis
Gm7945	Cerebellum
Mir5130	Limb
Gm16227	Testis
Gm15156	Cerebellum
Gm15938	Central Nervous System
Bmp15	Ovary
Tmprss11a	Bladder
Gm12212	Cortex
Gm15935	Testis
Tmprss11f	Bladder
Gm4846	Genital Adipose
Spaca5	Testis
Spaca7	Testis
Gm4841	Bladder
Slc22a19	Kidney
4931403M11Rik	Testis
Gm839	Ovary
Gm12695	Testis
Gm38505	Testis
Gm12690	Testis
Gm16599	Testis
4930417O22Rik	Testis
Gm13073	Liver
Gm15802	Testis
Gm13274	Testis
Gm16350	Placenta
Gm16351	Testis
Gm12679	Liver
Chil6	Bladder
6030452D12Rik	Placenta
1700049J03Rik	Testis
4921509C19Rik	Testis
Scml1	Testis
4930579M01Rik	Testis
Gm13267	Testis
Rsf1os2	Testis
Rsf1os1	Testis
Gykl1	Testis
4932414N04Rik	Testis
4930566F21Rik	Testis
4930528P14Rik	Testis
1700069L16Rik	Testis
Skint1	Thymus
Skint3	Thymus
Skint2	Thymus
Skint4	Thymus
BC053393	Placenta
Gm5415	Testis
4930544G11Rik	Testis
Gm10518	Testis
Olah	Testis
Gk2	Testis
Gm382	Testis
Gm22422	Cerebellum
Gm16764	Large Intestine
Sry	Testis
4930408O17Rik	Testis
Iqcf6	Testis
Gm16575	Thymus
Gm17089	Testis
Gm17088	Liver
Olfr215	Testis
Gm17080	Spleen
Olfr212	Testis
Adam6b	Testis
Trav8n-2	Thymus
Tmem190	Testis
Snord99	Cortex
1700018F24Rik	Testis
Gm20416	Testis
4930504O13Rik	Testis
Tmprss12	Testis
BC049702	Testis
Gm10684	Cerebellum
Olfr543	Genital Adipose
Gm5941	Testis
Cetn1	Testis
Tex12	Testis
Gm24371	Central Nervous System
Gm20389	Testis
Gm10339	Placenta
Gm7168	Testis
4930512B01Rik	Testis
4930519D14Rik	Testis
Oog2	Ovary
4921528I07Rik	Testis
Olfr1444	Testis
Olfr1445	Testis
Ube2dnl2	Testis
Arrdc5	Testis
Slc5a10	Kidney
Ube2dnl1	Testis
Gm9747	Central Nervous System
Pth2	Testis
Gm14210	Placenta
Gm6760	Testis
Stra8	Testis
Slc13a2os	Thymus
A230083N12Rik	Testis
1700095A21Rik	Testis
Cyp2c39	Liver
Cyp2c38	Liver
Gm13905	Testis
Gm14459	Testis
Gm14329	Testis
Gm14147	Testis
Gm14146	Testis
Gm14145	Testis
Ccdc105	Testis
E130218I03Rik	Cerebellum
Gm15492	Testis
Mup18	Bladder
Gm11482	Testis
Adam2	Testis
Ube2d2b	Testis
4930406D18Rik	Testis
4930556I23Rik	Testis
Gm4922	Testis
Dyrk4	Testis
Zfp735	Testis
Zscan5b	Testis
Gm12204	Testis
Gm12256	Thymus
4930430E12Rik	Subcutaneous Adipose
Gm16214	Spleen
Gm16213	Liver
Gm11267	Cerebellum
Gm11269	Testis
Arl13a	Testis
Gm1527	Testis
Efcab8	Testis
1700011L22Rik	Testis
Gm12681	Bladder
B430319H21Rik	Bladder
Krt71	Thymus
Gm12064	Testis
Mroh2b	Testis
Gm11608	Testis
Gm15813	Testis
Gm13793	Testis
Mir719	Liver
Sox5os4	Liver
4930529I22Rik	Testis
Cldn34c4	Testis
Cct8l1	Testis
Sox5os3	Testis
4932702P03Rik	Testis
Gm5538	Testis
Gm13427	Testis
Gm16140	Ovary
Gm16143	Colon
4930579D09Rik	Testis
9530026F06Rik	Whole Brain
Gm17168	Testis
4930405H06Rik	Testis
Gm17167	Whole Brain
Gm16277	Testis
4930552N02Rik	Testis
Klk1b1	Testis
Pth	Thymus
Smok2b	Testis
Smok2a	Testis
Pih1d3	Testis
4921534H16Rik	Testis
4930563M21Rik	Testis
4933440M02Rik	Testis
Slc25a41	Testis
1700060J05Rik	Testis
Cfap58	Testis
Gm5622	Testis
Gm10837	Cerebellum
Gm24411	Whole Brain
Tmem211	Ovary
Mrgprx1	Central Nervous System
Amy2a1	Liver
Gm17300	Testis
1700022I11Rik	Testis
Gm16541	Testis
Gm16540	Central Nervous System
4933406G16Rik	Testis
Gm16549	Testis
4931409K22Rik	Testis
4930451I11Rik	Testis
Mageb5	Testis
1700016D06Rik	Testis
Gm10782	Limb
Gm10787	Kidney
Fam150a	Bladder
Gm17232	Testis
BC027072	Testis
Gm20463	Central Nervous System
1700020N15Rik	Testis
Gm20465	Thymus
Tsga13	Testis
Atp6v1e2	Testis
Gm3486	Testis
Meikin	Testis
4933427E11Rik	Testis
4930545L23Rik	Testis
Gm9990	Central Nervous System
Gm9999	Testis
4930558K02Rik	Testis
Gm10655	Testis
Gm10300	Bladder
Gm10309	Testis
1700021J08Rik	Testis
Scn11a	Central Nervous System
4930474H06Rik	Testis
Lpcat2b	Testis
Defb43	Genital Adipose
4930564D02Rik	Testis
Cpxcr1	Testis
4932435O22Rik	Testis
2900092C05Rik	Testis
Gm13605	Testis
1700007J10Rik	Testis
Olfr19	Testis
Gm9758	Testis
Slfn5os	Testis
Gm20539	Bladder
4930444G20Rik	Testis
Oosp3	Ovary
Rbm46os	Testis
Gm24966	Cerebellum
Tmem52b	Kidney
Speer4f2	Testis
Tcp11x2	Testis
Gm12951	Testis
4931422A03Rik	Testis
Gm12898	Testis
